window,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,profit_to_loss,mean_peak_close_gain_pct,mean_giveback_pp,median_giveback_pp,max_giveback_pp,raw_s_count,emitted_s_count,suppressed_s_count
full,entry_component,B_STAGE_COMPONENT,14,7,7,50.0,0.20003545122945823,-1.83846528628957,-27.047831583052417,4,19.824081250757242,19.42334472721722,20.094789753031154,29.425051522084413,5,5,0
full,entry_component,B_BEAR_RECOVER,16,8,11,68.75,32.214075849183445,6.985743273185274,-26.593404828411128,3,55.231755014809316,22.75285384218178,19.853190506703477,76.60067403345829,14,11,3
full,entry_component,B_CRASH_RECOVER,5,4,2,40.0,12.91769767599049,-5.003121316486691,-26.9742832525411,3,31.191269825752393,18.047397549080834,21.250471160089546,31.978616072767274,2,2,0
full,exit_s_component,S_BLOWOFF,9,4,9,100.0,93.33798426900663,61.521743619341265,14.444136202171842,0,127.19793436324228,33.47269333742506,14.686066606762036,116.31776245369203,9,9,0
full,exit_s_component,S_BEAR_RALLY,10,6,8,80.0,23.719360402160447,14.347131049934058,-7.5571202234804735,2,31.713290011633852,7.746119235091108,7.105499034565644,18.02896387355375,10,10,0
full,exit_s_component,S_CROSS,6,5,5,83.33333333333334,27.80253012335673,22.503882702312296,-0.06198834990690516,1,50.19882958470706,22.140310481663345,21.97533525170561,31.482994671444594,6,6,0
full,exit_s_component,S_DELAY,12,9,10,83.33333333333334,28.449385460967903,17.875415684137195,-8.078611631424515,2,46.09231643417718,17.385646339690386,14.526243125807659,31.482994671444594,12,12,0
full,symbol,AAOI,13,1,7,53.84615384615385,41.795829751979504,0.19275887723202434,-25.39859610915135,6,70.24612680458628,28.166279437720426,27.794209375222056,76.60067403345829,6,5,1
full,symbol,GOOGL,5,1,3,60.0,-0.16198960985536423,3.995375811745916,-23.185264576067965,1,18.979516888967844,18.941530564159915,20.88264402279184,27.136840820312493,1,1,0
full,symbol,MRNA,8,1,3,37.5,1.8362524894163057,-6.488471745151742,-22.72557501230831,4,31.134297447884375,29.09406653687696,27.119439869130808,40.94216153511245,1,1,0
full,symbol,MSFT,4,1,2,50.0,7.850273321260132,9.7371215662379,-21.59643001259398,2,26.293126995037134,18.226829144373525,19.31025612160764,34.02190367202716,1,1,0
full,symbol,NFLX,6,1,6,100.0,31.627093386167825,16.57481672567573,7.260260420213327,0,46.04258387023654,14.151840888848929,11.619935980979413,29.425051522084413,4,4,0
full,symbol,NVDA,3,1,2,66.66666666666666,16.96555805817546,14.06175833620351,-23.72333142580999,0,41.14737365030706,23.947533110893303,19.77390868304156,38.586556463526335,1,1,0
full,symbol,SNOW,11,1,5,45.45454545454545,10.010905911664668,-0.7935845204045111,-27.047831583052417,5,26.736627299835888,16.505369103035818,20.81081081081082,28.20835617933063,4,4,0
full,symbol,TQQQ,10,1,5,50.0,9.691765534772994,1.7713678125236774,-18.423402686815884,5,30.35968083156261,20.448202251107283,21.34133625600546,31.482994671444594,4,4,0
full,symbol,TSLA,7,1,4,57.14285714285714,14.49868728005362,10.819385050147368,-26.593404828411128,2,32.542812965157076,17.81478435591358,14.686066606762036,30.506779651429202,4,4,0
full,symbol,YINN,15,1,7,46.666666666666664,9.920404233016429,-4.459071666167269,-34.38185233852087,6,39.22952272116251,29.088947478235472,27.32743119771501,116.31776245369203,9,6,3
