position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
flat,raw_jf,source_trusted,false,3,3,0,2,3,0,100.0,0.0,9.463043204732546,10.913464139551898,14.401607525056827,-2.5096141857063583,3,0,0,0,0,0,0
flat,raw_jf,source_trusted,true,4,3,1,2,2,1,66.66666666666666,33.33333333333333,29.675378112106994,11.151868384383112,36.33693692189258,-5.119842142994599,4,0,1,0,0,1,0
flat,raw_jf,flat_origin,initial,1,1,0,1,1,0,100.0,0.0,10.913464139551898,10.913464139551898,20.4206804283098,-0.4807619124471918,1,0,0,0,0,0,0
flat,raw_jf,flat_origin,S,3,2,1,3,2,0,100.0,0.0,8.73783273732287,8.73783273732287,11.392071073430342,-3.5240403223359413,3,0,1,0,0,1,0
flat,raw_jf,flat_origin,trail,3,3,0,2,2,1,66.66666666666666,33.33333333333333,29.675378112106994,11.151868384383112,36.33693692189258,-5.119842142994599,3,0,0,0,0,0,0
flat,tradable_jf,all,all,7,6,1,4,5,1,83.33333333333334,16.666666666666664,19.569210658419767,11.032666261967506,25.369272223474706,-3.8147281643504782,7,7,1,0,0,1,0
flat,tradable_jf,symbol,TQQQ,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,3.0728492989445355,3.0728492989445355,7.5470172806291425,-4.662253272454475,1,1,0,0,0,0,0
flat,tradable_jf,symbol,NFLX,2,2,0,1,2,0,100.0,0.0,12.658140157626551,12.658140157626551,17.828902647270674,-1.4332946423323,2,2,0,0,0,0,0
flat,tradable_jf,symbol,YINN,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,SNOW,2,2,0,1,1,1,50.0,50.0,0.5798566347196941,0.5798566347196941,9.358842455409677,-7.2472780876412966,2,2,0,0,0,0,0
flat,tradable_jf,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,MRNA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,AAOI,2,1,1,1,1,0,100.0,0.0,87.86642106688159,87.86642106688159,90.29312585485837,-0.8649702537012027,2,2,1,0,0,1,0
flat,tradable_jf,source_trusted,false,3,3,0,2,3,0,100.0,0.0,9.463043204732546,10.913464139551898,14.401607525056827,-2.5096141857063583,3,3,0,0,0,0,0
flat,tradable_jf,source_trusted,true,4,3,1,2,2,1,66.66666666666666,33.33333333333333,29.675378112106994,11.151868384383112,36.33693692189258,-5.119842142994599,4,4,1,0,0,1,0
flat,tradable_jf,flat_origin,initial,1,1,0,1,1,0,100.0,0.0,10.913464139551898,10.913464139551898,20.4206804283098,-0.4807619124471918,1,1,0,0,0,0,0
flat,tradable_jf,flat_origin,S,3,2,1,3,2,0,100.0,0.0,8.73783273732287,8.73783273732287,11.392071073430342,-3.5240403223359413,3,3,1,0,0,1,0
flat,tradable_jf,flat_origin,trail,3,3,0,2,2,1,66.66666666666666,33.33333333333333,29.675378112106994,11.151868384383112,36.33693692189258,-5.119842142994599,3,3,0,0,0,0,0
held,raw_b,all,all,19,16,3,8,13,1,81.25,6.25,12.451011174103424,13.419883058982705,21.931550277217504,-5.905767788274785,0,0,0,0,1,5,1
held,raw_b,symbol,TQQQ,1,1,0,1,1,0,100.0,0.0,49.75676638960893,49.75676638960893,50.53513093975379,-0.019455772819532147,0,0,0,0,0,0,0
held,raw_b,symbol,MSFT,2,1,1,1,1,0,100.0,0.0,20.070274638484896,20.070274638484896,20.61802036770748,-3.5371026610075407,0,0,0,0,0,1,0
held,raw_b,symbol,NFLX,4,2,2,1,2,0,100.0,0.0,13.934842508838152,13.934842508838152,14.793637716401697,-1.7864227366997776,0,0,0,0,0,0,0
held,raw_b,symbol,YINN,1,1,0,1,0,0,0.0,0.0,-3.662762568410738,-3.662762568410738,12.223665939002547,-5.04984405543828,0,0,0,0,0,0,0
held,raw_b,symbol,SNOW,6,6,0,1,4,1,66.66666666666666,16.666666666666664,2.4707485722578526,5.159425063041645,10.012004998569452,-9.924599325539402,0,0,0,0,1,2,1
held,raw_b,symbol,TSLA,1,1,0,1,1,0,100.0,0.0,4.883502488413005,4.883502488413005,12.623580162770033,-9.578220190951292,0,0,0,0,0,1,0
