scheme,signal,candidate,dimension,value,events,symbols,base_win_pct,base_noise_pct,brier,base_brier,brier_gain,logloss,base_logloss,high_events,high_symbols,coverage_pct,high_win_pct,high_noise_pct,win_gain_pp,noise_reduction_pp,high_wilson_low_pct,high_wilson_high_pct
time_symbol,b,decay730,symbol,GOOGL,4,1,75.0,25.0,0.27897584830608635,0.25161512354462745,-0.027360724761458954,0.7549916143144024,0.698900774527518,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,MRNA,6,1,33.33333333333333,66.66666666666666,0.23417474980665323,0.25679835360730413,0.02262360380065086,0.6612643066889722,0.7066288377723658,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,MSFT,5,1,60.0,40.0,0.26216353616889837,0.25187450223521424,-0.010289033933684171,0.7195488894491048,0.6974595830055546,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,NFLX,8,1,87.5,12.5,0.23447094253114767,0.22214964702873513,-0.012321295502412528,0.6615665820854326,0.6371169798174471,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,NVDA,2,1,50.0,50.0,0.2338062594635592,0.24261250654066857,0.008806247077109378,0.6607386181735095,0.6783370565290894,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,SNOW,10,1,30.0,60.0,0.33241314106952896,0.309941667193539,-0.022471473875989863,0.8638021724332555,0.8154865489629002,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,TQQQ,5,1,60.0,20.0,0.2501470190323044,0.24638109247998022,-0.003765926552324228,0.6935214005559374,0.6859209946068058,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,TSLA,6,1,33.33333333333333,66.66666666666666,0.27050303812997845,0.27562743558137126,0.005124397451392838,0.7344882668251066,0.744805601049887,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,YINN,9,1,55.55555555555556,44.44444444444444,0.28453929239320397,0.26407469880208495,-0.020464593591118994,0.7646115779022195,0.7220160444450046,1,1,11.11111111111111,0.0,100.0,-55.55555555555556,-55.55555555555556,0.0,79.34506856227625
time_symbol,b,decay730,source_trusted,False,32,5,62.5,37.5,0.2583872107717742,0.24876539351397034,-0.009621817257803832,0.7112291750762626,0.6911798211973955,1,1,3.125,0.0,100.0,-62.5,-62.5,0.0,79.34506856227625
time_symbol,b,decay730,source_trusted,True,28,5,42.857142857142854,50.0,0.28424481033976196,0.27579562333872387,-0.008449187001038094,0.7638120922342673,0.7457024627840109,0,0,0.0,,,,,,
