rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin
RP,NFLX,2022-02-01,2022-03-07,-16.923149448249564,23,trail,5.582501239891102,additional
RP,NFLX,2022-03-18,2022-04-21,-40.97843669435159,23,trail,5.327952696114147,additional
RP,NFLX,2022-05-16,2022-08-17,24.520373737496513,64,signal,28.970514245072287,additional
RP,NFLX,2022-10-18,2023-02-22,34.83800787525788,86,signal,47.30184991441364,additional
RP,NFLX,2023-03-16,2023-07-28,36.08836355442659,92,signal,56.71533477613799,additional
RP,NFLX,2023-08-01,2023-10-16,-18.719179633535422,53,trail,2.585912457245243,additional
RP,NFLX,2023-10-25,2024-08-26,65.15162887570418,210,terminal,67.91018287200794,v5
RP,YINN,2021-09-02,2021-09-21,-22.213485872062368,12,trail,4.832421512679952,additional
RP,YINN,2021-09-23,2021-11-29,-4.45907166616728,46,trail,25.800192888264583,v5
RP,YINN,2021-12-31,2022-01-24,6.437643816955418,15,signal,18.052262622978677,v5
RP,YINN,2022-02-02,2022-02-23,-18.200125568845916,14,trail,2.774819837989728,additional
RP,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,v5
RP,YINN,2022-03-16,2022-04-12,7.879159340068265,19,trail,34.52380952380953,v5
RP,YINN,2022-05-02,2022-05-09,-22.71120466175588,5,trail,8.020042170090358,additional
RP,YINN,2022-08-05,2022-09-07,-13.541838304664289,22,trail,9.235424969384232,additional
RP,YINN,2022-09-12,2022-09-22,-23.183679821191816,8,trail,1.8211137502163188,additional
RP,YINN,2022-10-14,2022-10-25,-34.38185233852087,7,trail,-0.056149518145465205,v5
RP,YINN,2022-11-07,2022-12-08,60.82415395212995,22,signal,59.146944209512675,additional
RP,YINN,2023-01-04,2023-02-07,1.6724582841518787,23,trail,29.20353982300885,v5
RP,YINN,2023-02-10,2023-02-27,-21.024901689038533,10,trail,1.6751675424541368,additional
RP,YINN,2023-03-22,2023-04-26,-5.832824545236592,24,trail,17.599426278275576,additional
RP,YINN,2023-05-01,2023-05-25,-17.789944004225067,18,trail,6.665023141964088,additional
RP,YINN,2023-06-05,2023-06-21,2.373008698810164,11,signal,22.54368079714606,additional
