case,rule,symbols,start,end,cost,profit_keep,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered
only_MRNA,P-confirm5-v5profit50,MRNA,2021-08-27,2026-08-27,0.001,0.5,27.57425086997751,5.011504022072133,36.908705117993655,0.3129631765806189,0.13578108487010926,13,69.23076923076923,-22.72557501230831,4.926125336961706,0.2836653386454183,3,17,52.94117647058824,47.05882352941176,9,33.33333333333333,66.66666666666666,8,75.0,25.0,5,80.0,20.0,,,,
without_NVDA,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,173.4777056905902,22.386222556570836,16.56043677212634,1.3004476911551865,1.3517893799908798,79,53.16455696202531,-34.38185233852087,1.7986428200841953,0.32819831783975206,31,100,60.0,39.0,58,55.172413793103445,43.103448275862064,42,66.66666666666666,33.33333333333333,54,55.55555555555556,37.03703703703704,,,,
without_NVDA,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,161.91471193479538,21.329155259340162,16.647195533243774,1.2559384390403976,1.281246154449661,111,55.85585585585585,-34.38185233852088,6.437643816955396,0.3540504648074369,38,145,60.689655172413794,35.172413793103445,103,58.252427184466015,35.92233009708738,42,66.66666666666666,33.33333333333333,54,55.55555555555556,37.03703703703704,,,,
only_NVDA,v5,NVDA,2021-08-27,2026-08-27,0.001,,39.68970412991748,6.942060685270346,29.312222852966695,0.4129156063402117,0.2368316016186312,3,66.66666666666666,-23.72333142580999,14.06175833620351,0.24382470119521912,0,4,75.0,25.0,2,50.0,50.0,2,100.0,0.0,7,42.857142857142854,57.14285714285714,,,,
only_NVDA,P-confirm5-v5profit50,NVDA,2021-08-27,2026-08-27,0.001,0.5,37.0002644525738,6.525411973560202,40.37082014432,0.38493992933730437,0.16163684438990275,7,42.857142857142854,-23.72333142580999,-1.509372585492097,0.27729083665338644,3,10,50.0,40.0,8,37.5,50.0,2,100.0,0.0,7,42.857142857142854,57.14285714285714,,,,
without_GOOGL,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,AAOI",2021-08-27,2026-08-27,0.001,,186.9725952782627,23.575648479860934,14.846608670089957,1.3437277917776786,1.5879483997821362,77,53.246753246753244,-34.38185233852087,1.7986428200841953,0.32226648959716686,30,100,60.0,39.0,56,53.57142857142857,44.642857142857146,44,68.18181818181817,31.818181818181817,59,54.23728813559322,38.983050847457626,,,,
without_GOOGL,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,AAOI",2021-08-27,2026-08-27,0.001,0.5,172.90989050665928,22.335156179713223,14.935149434817541,1.2733676590590093,1.4954759091760026,110,55.45454545454545,-34.38185233852088,6.5250636595351015,0.35050907481186366,38,146,60.273972602739725,35.61643835616438,102,56.86274509803921,37.254901960784316,44,68.18181818181817,31.818181818181817,59,54.23728813559322,38.983050847457626,,,,
only_GOOGL,v5,GOOGL,2021-08-27,2026-08-27,0.001,,-6.063822826241793,-1.2482207269816414,28.194142102145637,0.010635528408310673,-0.04427234290227434,5,60.0,-23.185264576067965,3.995375811745916,0.2972111553784861,1,4,75.0,25.0,4,75.0,25.0,0,,,2,50.0,50.0,,,,
only_GOOGL,P-confirm5-v5profit50,GOOGL,2021-08-27,2026-08-27,0.001,0.5,-2.4865443724335856,-0.5043265624266158,29.14945108900865,0.05740020877724134,-0.01730140855437177,8,50.0,-23.185264576067965,-0.3195108496812038,0.30916334661354583,3,9,55.55555555555556,33.33333333333333,9,55.55555555555556,33.33333333333333,0,,,2,50.0,50.0,,,,
without_AAOI,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL",2021-08-27,2026-08-27,0.001,,97.28079376165009,14.617805386469351,15.322781853012978,1.0064012386759058,0.9539916137091643,69,53.62318840579711,-34.38185233852087,3.995375811745916,0.32766710934041604,25,91,60.43956043956044,38.46153846153847,55,54.54545454545454,43.63636363636363,36,69.44444444444444,30.555555555555557,53,56.60377358490566,35.84905660377358,,,,
without_AAOI,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL",2021-08-27,2026-08-27,0.001,0.5,82.14199504699292,12.79491360175411,15.410827502547841,0.910892427147838,0.8302548062158733,101,54.45544554455446,-34.38185233852088,6.17205366457938,0.3563523683045595,36,135,59.25925925925925,35.55555555555556,99,55.55555555555556,37.37373737373738,36,69.44444444444444,30.555555555555557,53,56.60377358490566,35.84905660377358,,,,
only_AAOI,v5,AAOI,2021-08-27,2026-08-27,0.001,,1285.5202504003153,69.52440440608933,40.88018136185644,1.1316482924763211,1.7006872790187668,13,53.84615384615385,-25.39859610915135,0.19275887723202434,0.24860557768924302,6,13,61.53846153846154,38.46153846153847,5,60.0,40.0,8,62.5,37.5,8,37.5,62.5,,,,
only_AAOI,P-confirm5-v5profit50,AAOI,2021-08-27,2026-08-27,0.001,0.5,1680.906508224371,78.28908288949188,38.51533003214803,1.18670075688394,2.0326732972077726,17,58.82352941176471,-25.398596109151363,10.218788058805828,0.25657370517928285,5,20,65.0,35.0,12,66.66666666666666,33.33333333333333,8,62.5,37.5,8,37.5,62.5,,,,
