window,symbol,date,signal,regime,setup_date,setup_regime,wait_bars,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,outcome_complete,outcome_date,ret20_pct,mfe20_pct,mae20_pct,win,interference
validation,AAOI,2025-05-01,b,bear,2025-04-24,bear,5.0,False,False,True,False,True,2025-05-30,1.1147545986488039,38.7540973600794,-17.65901534283748,True,False
validation,AAOI,2025-07-25,s,bull,,,,False,False,False,False,True,2025-08-22,-9.887311125860531,0.2908030644873216,-27.717193517122418,True,False
recent,TQQQ,2025-11-17,s,bull,,,,False,False,False,False,True,2025-12-16,4.691414799770155,14.214267582395546,-9.492849909200519,False,True
recent,TQQQ,2026-04-09,b,bear,2026-04-08,bear,1.0,False,False,True,False,True,2026-05-07,44.529979969289776,48.500820250149744,-1.8233397760285763,True,False
recent,TQQQ,2026-06-09,s,bull,,,,False,False,False,False,True,2026-07-09,6.746327008661979,18.73605610405573,-3.7388396955437386,False,True
recent,MSFT,2026-04-14,b,bear,2026-04-13,bear,1.0,False,False,True,False,True,2026-05-12,2.454771108962772,8.969852313324456,-0.3190927170029889,True,False
recent,MSFT,2026-06-09,s,bear,,,,False,False,False,False,True,2026-07-09,-3.560407195088755,1.6284082174716996,-12.382380403326687,True,False
recent,MSFT,2026-06-26,jf,bear,,,,False,False,False,False,True,2026-07-27,3.0728492989445355,7.5470172806291425,-4.662253272454475,True,False
recent,NFLX,2026-02-25,jf,bear,,,,False,False,False,False,True,2026-03-25,10.913464139551898,20.4206804283098,-0.4807619124471918,True,False
recent,NFLX,2026-04-17,s,bear,,,,False,False,False,False,True,2026-05-15,-10.417956362124968,0.47354240000301306,-12.394483211012219,True,False
recent,NFLX,2026-07-17,jf,bear,,,,False,False,False,False,True,2026-08-14,14.402816175701204,15.237124866231543,-2.3858273722174084,True,False
recent,YINN,2025-10-10,s,bull,,,,False,False,False,False,True,2025-11-07,0.1664970495836915,10.780437851038482,-5.494275612000898,False,True
recent,YINN,2025-12-26,b,bull,2025-12-19,bull,4.0,False,True,False,False,True,2026-01-27,11.644321238262801,18.701484537373947,-0.4469504450973827,True,False
recent,YINN,2026-02-20,jf,bear,,,,False,False,False,False,True,2026-03-20,-27.981544608376208,0.8535242436119361,-28.4659715792284,False,True
recent,YINN,2026-08-04,s,bear,,,,False,False,False,False,False,,,,,,
recent,SNOW,2025-11-21,s,bull,,,,False,False,False,False,True,2025-12-22,-4.568784497172807,12.835504795348962,-10.849808000522799,True,False
recent,SNOW,2026-01-06,b,bull,2026-01-05,bull,1.0,False,True,False,False,True,2026-02-04,-29.363250732421875,0.9871784438434839,-31.82905800322182,False,True
recent,SNOW,2026-02-25,jf,bear,,,,False,False,False,False,True,2026-03-25,-9.992155114943724,3.530600182448751,-12.088100778468448,False,True
recent,SNOW,2026-04-13,jf,bear,,,,False,False,False,False,True,2026-05-11,11.151868384383112,15.187084728370603,-2.4064553968141444,True,False
recent,SNOW,2026-04-20,b,bear,2026-04-15,bear,3.0,False,False,False,True,True,2026-05-18,8.337730132423339,9.023741507266347,-12.255937389849358,True,False
recent,SNOW,2026-06-29,b,bull,2026-06-26,bull,1.0,True,False,False,False,True,2026-07-28,8.230577281275986,11.885503130464548,-1.5172171731865913,True,False
recent,TSLA,2026-01-05,s,bull,,,,False,False,False,False,True,2026-02-03,-5.470678157760522,1.774269192957112,-7.3233572480443705,True,False
recent,TSLA,2026-02-11,b,bull,2026-02-10,bull,1.0,False,True,False,False,True,2026-03-12,-8.201250064715982,1.3781137256765552,-11.364163440323338,False,True
recent,TSLA,2026-06-05,s,bear,,,,False,False,False,False,True,2026-07-07,1.6577113886942385,9.217066590200119,-6.996689982652571,False,False
recent,MRNA,2025-11-12,b,bear,2025-11-11,bear,1.0,False,False,True,False,True,2025-12-11,13.481418874496342,13.672920763582287,-14.668708671678898,True,False
recent,MRNA,2025-11-21,jf,bear,,,,False,False,False,False,True,2025-12-22,46.88552689261203,51.094281060822986,-0.9048827883702759,True,False
recent,MRNA,2026-01-13,b,bull,2026-01-06,bull,5.0,True,False,False,False,True,2026-02-11,1.9632489007901155,38.93783387602916,-7.739745276539633,True,False
recent,MRNA,2026-03-27,s,bull,,,,False,False,False,False,True,2026-04-27,-1.962754884943585,13.135383243269105,-5.10317038016348,True,False
